paper,year,method,method_tier,role,source_raw,source_norm,source_region,sample_id,units,notes,Rb,Sr,Y,Zr,Nb,Ti,Mn,Fe,Zn,Ga,Ba,Pb,Th
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-507,ppm,Kenan Tepe artifacts grouped by assigned source,214.0,0.0,,1262.0,64.0,928.0,552.0,21267.0,191.0,,0.0,30.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-508,ppm,Kenan Tepe artifacts grouped by assigned source,228.0,0.0,,1380.0,70.0,944.0,545.0,22405.0,193.0,,0.0,33.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-510,ppm,Kenan Tepe artifacts grouped by assigned source,203.0,0.0,,1260.0,64.0,845.0,432.0,20237.0,173.0,,0.0,23.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-512,ppm,Kenan Tepe artifacts grouped by assigned source,209.0,0.0,,1269.0,66.0,846.0,588.0,21302.0,179.0,,0.0,33.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-514,ppm,Kenan Tepe artifacts grouped by assigned source,208.0,0.0,,1294.0,66.0,942.0,457.0,20934.0,191.0,,0.0,27.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-516,ppm,Kenan Tepe artifacts grouped by assigned source,203.0,0.0,,1244.0,63.0,852.0,610.0,20302.0,187.0,,109.0,28.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-520,ppm,Kenan Tepe artifacts grouped by assigned source,228.0,0.0,,1372.0,72.0,993.0,535.0,22947.0,204.0,,0.0,30.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-521,ppm,Kenan Tepe artifacts grouped by assigned source,203.0,0.0,,1250.0,67.0,863.0,527.0,20752.0,168.0,,0.0,25.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-522,ppm,Kenan Tepe artifacts grouped by assigned source,213.0,0.0,,1270.0,65.0,818.0,467.0,20561.0,180.0,,0.0,29.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-524,ppm,Kenan Tepe artifacts grouped by assigned source,198.0,0.0,,1250.0,63.0,912.0,557.0,20476.0,175.0,,0.0,28.0,
