sample_id,Ba,Ti,Mn,Fe,Co,Ni,Cu,Zn,Ga,Pb,Th,Rb,Sr,Y,Zr,Nb,Museum ID,Site,"Date of
Analysis",Cortex,Length,Width,Thick,Source,source,site,notes,verification_flag,paper,year,method,method_tier,units,is_source_reference
JMA14 NM85 ,679,423,498,13347,4,6,7,39,15,24,14,130,113,15,109,10,1933γ ,Ayioi Anargyroi ,2014-08-05 00:00:00,0,4.89,0.75,0.25,Sta Nychia,Sta Nychia,Ayioi Anargyroi ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM86 ,676,433,411,10241,4,6,7,41,15,22,10,121,105,18,106,10,1934ζ ,Ayioi Anargyroi ,2014-08-05 00:00:00,0,3.4,1,0.23,Sta Nychia,Sta Nychia,Ayioi Anargyroi ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM87 ,730,446,517,10871,4,6,8,39,17,24,11,121,103,18,106,8,5477-1 ,Ayioi Anargyroi ,2014-08-05 00:00:00,0,2.92,0.94,0.29,Sta Nychia,Sta Nychia,Ayioi Anargyroi ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM88 ,702,345,539,10001,4,6,8,36,16,22,11,118,100,15,111,9,5477-2 ,Ayioi Anargyroi ,2014-08-05 00:00:00,0,2.88,1.22,0.3,Sta Nychia,Sta Nychia,Ayioi Anargyroi ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM89 ,726,398,483,11123,4,7,6,56,16,25,10,111,105,19,104,8,5477-3 ,Ayioi Anargyroi ,2014-08-05 00:00:00,0,4.05,1.13,0.5,Sta Nychia,Sta Nychia,Ayioi Anargyroi ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM90 ,687,380,499,9719,4,6,7,38,15,21,11,116,101,16,103,10,5477-4 ,Ayioi Anargyroi ,2014-08-05 00:00:00,0,1.61,1.13,0.44,Sta Nychia,Sta Nychia,Ayioi Anargyroi ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM91 ,681,451,483,10636,4,6,7,31,15,21,9,127,109,19,110,10,5477-5 ,Ayioi Anargyroi ,2014-08-05 00:00:00,0,1.77,0.89,0.25,Sta Nychia,Sta Nychia,Ayioi Anargyroi ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM92 ,747,555,472,12292,5,6,8,46,17,23,12,108,124,18,112,8,1984,Akrotiri ,2014-08-05 00:00:00,0,4.39,1.06,0.19,Dhemenegaki,Dhemenegaki,Akrotiri ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM93 ,683,574,341,11367,5,6,8,26,14,19,10,101,108,19,110,8,2012α ,Akrotiri ,2014-08-05 00:00:00,0,1.81,1.17,0.37,Dhemenegaki,Dhemenegaki,Akrotiri ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM94 ,640,519,408,9871,4,6,7,33,14,21,12,113,96,21,106,9,2012β ,Akrotiri ,2014-08-05 00:00:00,0,1.81,1.14,0.39,Sta Nychia,Sta Nychia,Akrotiri ,,True,Morgan 2015,2015,pXRF,1,ppm,True
