Rb,Sr,Zr,Nb,Y,Ti,Ba,Th,La,Ce,source,sample_id,site,notes,verification_flag,paper,year,method,method_tier,units,is_source_reference,Fe,Mn,Zn,Pb,Sm,Eu,Yb,Lu,Ga,ref_quality,heavy5_cover
224.0,0.0,1331.0,69.0,,949.0,0.0,,,,NemrutDag,kn-154,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,23108.0,448.0,190.0,29.0,,,,,,strong,4
202.0,0.0,1237.0,62.0,,880.0,0.0,,,,NemrutDag,kn-155,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,20864.0,491.0,188.0,28.0,,,,,,strong,4
199.0,0.0,1260.0,64.0,,917.0,0.0,,,,NemrutDag,kn-156,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,21202.0,521.0,183.0,26.0,,,,,,strong,4
208.0,0.0,1234.0,64.0,,848.0,0.0,,,,NemrutDag,kn-158,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,20973.0,568.0,181.0,33.0,,,,,,strong,4
207.0,0.0,1255.0,66.0,,814.0,0.0,,,,NemrutDag,kn-159,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,21125.0,509.0,190.0,31.0,,,,,,strong,4
216.0,0.0,1295.0,66.0,,920.0,0.0,,,,NemrutDag,kn-161,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,21810.0,436.0,188.0,28.0,,,,,,strong,4
206.0,0.0,1256.0,64.0,,866.0,0.0,,,,NemrutDag,kn-162,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,21234.0,486.0,185.0,32.0,,,,,,strong,4
211.0,0.0,1292.0,66.0,,845.0,0.0,,,,NemrutDag,kn-165,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,21938.0,456.0,190.0,25.0,,,,,,strong,4
214.0,0.0,1293.0,68.0,,931.0,0.0,,,,NemrutDag,kn-166,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,21831.0,465.0,189.0,31.0,,,,,,strong,4
206.0,0.0,1261.0,64.0,,858.0,0.0,,,,NemrutDag,kn-167,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,21251.0,583.0,192.0,28.0,,,,,,strong,4
208.0,0.0,1266.0,66.0,,875.0,0.0,,,,NemrutDag,kn-168,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,21438.0,437.0,192.0,23.0,,,,,,strong,4
200.0,0.0,1252.0,64.0,,822.0,0.0,,,,NemrutDag,kn-170,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,20494.0,584.0,184.0,31.0,,,,,,strong,4
209.0,0.0,1255.0,64.0,,860.0,0.0,,,,NemrutDag,kn-171,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,21223.0,571.0,192.0,24.0,,,,,,strong,4
202.0,0.0,1244.0,64.0,,845.0,0.0,,,,NemrutDag,kn-172,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,20246.0,609.0,169.0,33.0,,,,,,strong,4
212.0,0.0,1276.0,67.0,,864.0,0.0,,,,NemrutDag,kn-175,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,21704.0,458.0,197.0,29.0,,,,,,strong,4
217.0,0.0,1296.0,67.0,,964.0,0.0,,,,NemrutDag,kn-177,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,21726.0,484.0,188.0,25.0,,,,,,strong,4
249.0910313830432,0.0,1393.25777999419,59.61844944253394,111.0,1067.8043315976452,0.0,,,,NemrutDag,kn-184,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,26822.446596176906,554.3690247603164,230.93863510741696,34.15252651085336,,,,,,strong,5
218.0,0.0,1320.0,67.0,,936.0,0.0,,,,NemrutDag,kn-188,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,22518.0,501.0,190.0,35.0,,,,,,strong,4
193.0,0.0,1200.0,61.0,,809.0,0.0,,,,NemrutDag,kn-189,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,19299.0,539.0,161.0,22.0,,,,,,strong,4
198.0,0.0,1223.0,61.0,,856.0,0.0,,,,NemrutDag,kn-192,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,20091.0,476.0,172.0,26.0,,,,,,strong,4
